session_id,ip_hash,duration_sec,request_count,unique_pages,error_rate,avg_bytes,page_sequence,page_timestamps,page_set,cluster_id,if_flag,if_score,z_flag,anomaly_flag,anomaly_priority
8c4d3df5d46e_0,8c4d3df5d46e,455.0,7,6,0.0,19428.85714285714,"[""/"", ""/catalog/women"", ""/products/{id}"", ""/products/{id}"", ""/cart"", ""/checkout"", ""/order/confirm""]","[0.0, 64.0, 136.0, 151.0, 265.0, 281.0, 455.0]","[""/checkout"", ""/catalog/women"", ""/products/{id}"", ""/cart"", ""/order/confirm"", ""/""]",0,False,0.3731531956688987,False,False,False
8c4d3df5d46e_1,8c4d3df5d46e,222.0,5,5,0.2,26100.6,"[""/"", ""/account"", ""/wishlist"", ""/products/{id}"", ""/cart""]","[0.0, 31.0, 159.0, 210.0, 222.0]","[""/wishlist"", ""/products/{id}"", ""/account"", ""/cart"", ""/""]",0,True,0.5966502963617568,False,True,False
8c4d3df5d46e_2,8c4d3df5d46e,161.0,2,2,0.0,40178.0,"[""/"", ""/catalog/men""]","[0.0, 161.0]","[""/"", ""/catalog/men""]",3,False,0.48754712099753217,False,False,False
0e8e99ecaadb_0,0e8e99ecaadb,364.0,4,3,0.0,24316.75,"[""/"", ""/blog"", ""/blog"", ""/products/{id}""]","[0.0, 145.0, 236.0, 364.0]","[""/products/{id}"", ""/"", ""/blog""]",3,False,0.49880238685768286,False,False,False
3f492b709722_0,3f492b709722,131.0,2,2,0.0,23001.5,"[""/"", ""/catalog/men""]","[0.0, 131.0]","[""/"", ""/catalog/men""]",3,False,0.46055103716583595,False,False,False
eedc61203bb1_0,eedc61203bb1,147.0,2,2,0.0,14718.0,"[""/"", ""/catalog/men""]","[0.0, 147.0]","[""/"", ""/catalog/men""]",3,False,0.4638118997534396,False,False,False
d5960403132f_0,d5960403132f,458.0,7,5,0.0,21753.428571428572,"[""/"", ""/catalog/women"", ""/products/{id}"", ""/products/{id}"", ""/catalog/men"", ""/products/{id}"", ""/cart""]","[0.0, 170.0, 267.0, 314.0, 379.0, 437.0, 458.0]","[""/catalog/men"", ""/catalog/women"", ""/products/{id}"", ""/cart"", ""/""]",0,False,0.37792528224634636,False,False,False
d5960403132f_1,d5960403132f,422.0,6,5,0.0,25335.666666666668,"[""/"", ""/search"", ""/products/{id}"", ""/products/{id}"", ""/wishlist"", ""/catalog/women""]","[0.0, 65.0, 120.0, 246.0, 285.0, 422.0]","[""/wishlist"", ""/catalog/women"", ""/products/{id}"", ""/search"", ""/""]",0,False,0.3828442845900182,False,False,False
03e35dbdcb9d_0,03e35dbdcb9d,1375.0,15,7,0.06666666666666667,15837.533333333333,"[""/"", ""/sale"", ""/products/{id}"", ""/products/{id}"", ""/products/{id}"", ""/cart"", ""/checkout"", ""/order/confirm"", ""/"", ""/catalog/women"", ""/products/{id}"", ""/products/{id}"", ""/cart"", ""/checkout"", ""/order/confirm""]","[0.0, 163.0, 299.0, 402.0, 500.0, 522.0, 562.0, 705.0, 900.0, 1078.0, 1198.0, 1251.0, 1301.0, 1333.0, 1375.0]","[""/checkout"", ""/catalog/women"", ""/products/{id}"", ""/sale"", ""/cart"", ""/order/confirm"", ""/""]",0,True,0.7155280215288851,False,True,False
03e35dbdcb9d_1,03e35dbdcb9d,715.0,6,6,0.0,23857.833333333332,"[""/"", ""/search"", ""/products/{id}"", ""/cart"", ""/checkout"", ""/order/confirm""]","[0.0, 138.0, 291.0, 420.0, 565.0, 715.0]","[""/checkout"", ""/products/{id}"", ""/cart"", ""/order/confirm"", ""/search"", ""/""]",0,False,0.41493230681384685,False,False,False
c2bd40dab85d_0,c2bd40dab85d,753.0,7,5,0.0,21945.285714285714,"[""/"", ""/catalog/women"", ""/products/{id}"", ""/products/{id}"", ""/catalog/men"", ""/products/{id}"", ""/cart""]","[0.0, 116.0, 222.0, 349.0, 508.0, 671.0, 753.0]","[""/catalog/men"", ""/catalog/women"", ""/products/{id}"", ""/cart"", ""/""]",0,False,0.4227145753504082,False,False,False
4fb42a54bce3_0,4fb42a54bce3,390.0,4,3,0.0,19839.75,"[""/"", ""/blog"", ""/blog"", ""/products/{id}""]","[0.0, 106.0, 229.0, 390.0]","[""/products/{id}"", ""/"", ""/blog""]",3,False,0.5037979371254461,False,False,False
4fb42a54bce3_1,4fb42a54bce3,4004.0,12,7,0.0,23422.833333333332,"[""/"", ""/account"", ""/wishlist"", ""/products/{id}"", ""/cart"", ""/"", ""/catalog/women"", ""/products/{id}"", ""/products/{id}"", ""/catalog/men"", ""/products/{id}"", ""/cart""]","[0.0, 46.0, 74.0, 241.0, 376.0, 3300.0, 3432.0, 3592.0, 3765.0, 3790.0, 3857.0, 4004.0]","[""/wishlist"", ""/catalog/men"", ""/catalog/women"", ""/products/{id}"", ""/account"", ""/cart"", ""/""]",2,True,0.7786929628060636,True,True,True
380b8542f7b3_0,380b8542f7b3,664.0,7,5,0.14285714285714285,20473.714285714286,"[""/"", ""/catalog/women"", ""/products/{id}"", ""/products/{id}"", ""/catalog/men"", ""/products/{id}"", ""/cart""]","[0.0, 128.0, 253.0, 259.0, 389.0, 495.0, 664.0]","[""/catalog/men"", ""/catalog/women"", ""/products/{id}"", ""/cart"", ""/""]",0,False,0.4704404347236531,False,False,False
d31e9a340238_0,d31e9a340238,711.0,8,6,0.0,22562.75,"[""/"", ""/sale"", ""/products/{id}"", ""/products/{id}"", ""/products/{id}"", ""/cart"", ""/checkout"", ""/order/confirm""]","[0.0, 9.0, 124.0, 263.0, 402.0, 508.0, 630.0, 711.0]","[""/checkout"", ""/products/{id}"", ""/sale"", ""/cart"", ""/order/confirm"", ""/""]",0,False,0.39352674164197193,False,False,False
d31e9a340238_1,d31e9a340238,769.0,7,6,0.0,22435.285714285714,"[""/"", ""/catalog/women"", ""/products/{id}"", ""/products/{id}"", ""/cart"", ""/checkout"", ""/order/confirm""]","[0.0, 89.0, 229.0, 355.0, 535.0, 684.0, 769.0]","[""/checkout"", ""/catalog/women"", ""/products/{id}"", ""/cart"", ""/order/confirm"", ""/""]",0,False,0.39229808005219957,False,False,False
d31e9a340238_2,d31e9a340238,7.0,2,2,0.0,20691.0,"[""/"", ""/catalog/men""]","[0.0, 7.0]","[""/"", ""/catalog/men""]",3,True,0.5470265040394781,False,True,False
5c04e55a1c54_0,5c04e55a1c54,671.0,6,6,0.0,15177.666666666666,"[""/"", ""/search"", ""/products/{id}"", ""/cart"", ""/checkout"", ""/order/confirm""]","[0.0, 167.0, 275.0, 396.0, 549.0, 671.0]","[""/checkout"", ""/products/{id}"", ""/cart"", ""/order/confirm"", ""/search"", ""/""]",0,False,0.40114198009221536,False,False,False
5c04e55a1c54_1,5c04e55a1c54,452.0,6,5,0.0,25966.666666666668,"[""/"", ""/search"", ""/products/{id}"", ""/products/{id}"", ""/wishlist"", ""/catalog/women""]","[0.0, 65.0, 159.0, 216.0, 310.0, 452.0]","[""/wishlist"", ""/catalog/women"", ""/products/{id}"", ""/search"", ""/""]",0,False,0.3830988553893809,False,False,False
5c04e55a1c54_2,5c04e55a1c54,114.0,2,2,0.0,5144.5,"[""/"", ""/catalog/men""]","[0.0, 114.0]","[""/"", ""/catalog/men""]",3,False,0.4442768679342203,False,False,False
2bbc719898cb_0,2bbc719898cb,480.0,6,5,0.0,26555.333333333332,"[""/"", ""/search"", ""/products/{id}"", ""/products/{id}"", ""/wishlist"", ""/catalog/women""]","[0.0, 157.0, 334.0, 366.0, 464.0, 480.0]","[""/wishlist"", ""/catalog/women"", ""/products/{id}"", ""/search"", ""/""]",0,False,0.38680536628270207,False,False,False
2bbc719898cb_1,2bbc719898cb,100.0,2,2,0.5,24818.0,"[""/"", ""/catalog/men""]","[0.0, 100.0]","[""/"", ""/catalog/men""]",3,True,0.7028891060838478,True,True,True
2bbc719898cb_2,2bbc719898cb,509.0,8,6,0.0,20918.875,"[""/"", ""/sale"", ""/products/{id}"", ""/products/{id}"", ""/products/{id}"", ""/cart"", ""/checkout"", ""/order/confirm""]","[0.0, 13.0, 66.0, 109.0, 242.0, 282.0, 370.0, 509.0]","[""/checkout"", ""/products/{id}"", ""/sale"", ""/cart"", ""/order/confirm"", ""/""]",0,False,0.40530192621378125,False,False,False
ed8dbeb52f1b_0,ed8dbeb52f1b,493.0,6,6,0.0,24857.5,"[""/"", ""/search"", ""/products/{id}"", ""/cart"", ""/checkout"", ""/order/confirm""]","[0.0, 134.0, 239.0, 326.0, 337.0, 493.0]","[""/checkout"", ""/products/{id}"", ""/cart"", ""/order/confirm"", ""/search"", ""/""]",0,False,0.39174293867750015,False,False,False
c75db2e2b067_0,c75db2e2b067,96.0,2,2,0.0,17086.0,"[""/"", ""/catalog/men""]","[0.0, 96.0]","[""/"", ""/catalog/men""]",3,False,0.4301737769773511,False,False,False
c75db2e2b067_1,c75db2e2b067,341.0,7,6,0.0,35107.857142857145,"[""/"", ""/catalog/women"", ""/products/{id}"", ""/products/{id}"", ""/cart"", ""/checkout"", ""/order/confirm""]","[0.0, 70.0, 87.0, 97.0, 215.0, 284.0, 341.0]","[""/checkout"", ""/catalog/women"", ""/products/{id}"", ""/cart"", ""/order/confirm"", ""/""]",0,False,0.40771437922722725,False,False,False
c75db2e2b067_2,c75db2e2b067,556.0,7,6,0.0,20387.714285714286,"[""/"", ""/catalog/women"", ""/products/{id}"", ""/products/{id}"", ""/cart"", ""/checkout"", ""/order/confirm""]","[0.0, 103.0, 150.0, 229.0, 368.0, 460.0, 556.0]","[""/checkout"", ""/catalog/women"", ""/products/{id}"", ""/cart"", ""/order/confirm"", ""/""]",0,False,0.36872695481561196,False,False,False
